Time,Average,Error
0.0,0.0556881313131,0.492060340507
1.0,0.22389520202,0.311540641523
2.0,-0.909103535354,0.448054197191
3.0,-0.0951388888889,0.152151836826
4.0,0.0424431818182,0.204715279957
5.0,-0.0669444444444,0.283130459846
6.0,-0.932695707071,0.422818817393
7.0,-0.437152777778,0.292322482492
8.0,0.0729292929293,0.241124399089
9.0,-0.270505050505,0.329843489009
10.0,-0.107714646465,0.267288633149
11.0,0.189842171717,0.288980338985
12.0,0.110877525253,0.0508752893517
13.0,-0.316698232323,0.196911323893
14.0,-1.06206439394,0.069459965552
15.0,0.0261111111111,0.22711371144
16.0,0.335113636364,0.241531391737
17.0,0.0684785353535,0.266799615262
18.0,-0.304880050505,0.239752998563
19.0,0.037077020202,0.214679675894
20.0,0.0754166666667,0.335940682963
21.0,0.464856902357,0.235984519304
22.0,-0.102998737374,0.121490158264
23.0,0.0318427328844,0.536524323241
