Time,Average,Error
0.0,-3.18921630647,10.0103397001
1.0,0.391817901936,6.28696404705
2.0,-12.8554484585,9.05157818301
3.0,-5.48587833544,5.67661596237
4.0,-4.09452984007,7.03921133466
5.0,-5.50383362269,5.571597487
6.0,-16.2346548267,8.85242767974
7.0,-7.10089978535,4.99379170562
8.0,-2.79665996423,6.65741169685
9.0,-9.06445431713,8.89281919789
10.0,-4.86330161406,7.37994525908
11.0,-7.07255030724,10.242235294
12.0,0.141821668771,5.38096981974
13.0,-6.69531451845,3.67616821698
14.0,-17.899902175,5.61477185663
15.0,-6.68576441358,10.4704722296
16.0,7.82015857534,4.65055834254
17.0,-5.30466728407,3.00191007381
18.0,-5.43201130577,1.12297979389
19.0,1.7597485018,4.64378007998
20.0,-2.49422876984,3.17681794956
21.0,7.99989815972,3.44911298398
22.0,3.90218524446,5.37382609876
23.0,3.74909804351,6.63787458308
