Time,Average,Error
0.0,-1.47407087226,3.36262687182
1.0,-1.34179955282,4.82703096752
2.0,-3.30228906987,5.44699114835
3.0,0.128253116582,3.65068295985
4.0,0.582920398429,3.56473527174
5.0,-0.328093932029,3.20447529222
6.0,-2.57184356376,3.54806123999
7.0,-0.00144708859429,4.61240090127
8.0,0.954784823232,2.92510219458
9.0,-0.581540098906,3.00966895011
10.0,0.935098553241,3.79176813944
11.0,0.618688630051,3.5174002269
12.0,1.73843073022,4.0849963276
13.0,-0.165281358375,4.08706512391
14.0,-4.16148814634,4.56190782422
15.0,1.51145243386,2.69736230671
16.0,1.69139854798,3.56252730915
17.0,-1.70762731119,4.6400622016
18.0,-0.082304229798,3.96183562758
19.0,0.996401028807,3.65187827837
20.0,-1.58029066578,4.08589761228
21.0,2.53795005787,3.68023433555
22.0,-0.231361237374,4.50653456835
23.0,0.24694070333,3.24755986024
