Time,Average,Error,T12,T13,T14
0.0,3.34506944444,0.269121017466,4.00416666667,3.02604166667,3.005
1.0,2.28368055556,0.302111402485,2.16666666667,1.709375,2.975
2.0,2.49319444444,0.341708462514,1.68333333333,3.08125,2.715
3.0,1.92013888889,0.118995779333,1.64479166667,2.140625,1.975
4.0,1.70604166667,0.163487414332,1.93125,1.88020833333,1.30666666667
5.0,2.04194444444,0.263578954201,2.66354166667,1.88229166667,1.58
6.0,2.18118055556,0.186903122325,1.93125,1.97395833333,2.63833333333
7.0,1.87048611111,0.223376091413,1.33229166667,2.05416666667,2.225
8.0,1.54222222222,0.122232533235,1.4375,1.8375,1.35166666667
9.0,1.65611111111,0.329717751499,1.61770833333,2.37395833333,0.976666666667
10.0,1.83347222222,0.0557251173964,1.853125,1.940625,1.70666666667
11.0,1.42076388889,0.287834117671,1.43125,2.02604166667,0.805
12.0,0.617152777778,0.0503964159411,0.49375,0.676041666667,0.681666666667
13.0,1.16215277778,0.158545129219,1.04375,0.901041666667,1.54166666667
14.0,2.42645833333,0.040754719298,2.521875,2.40416666667,2.35333333333
15.0,1.84888888889,0.107963459277,1.71875,1.71458333333,2.11333333333
16.0,0.87625,0.158016953644,0.640625,0.728125,1.26
17.0,0.747430555556,0.145886112583,0.703125,0.4625,1.07666666667
18.0,0.790486111111,0.234519890057,0.570833333333,0.440625,1.36
19.0,0.822013888889,0.118638931706,0.579166666667,0.805208333333,1.08166666667
20.0,1.14958333333,0.335919754412,0.892708333333,0.601041666667,1.955
21.0,0.891203703704,0.231654699851,0.828125,0.434375,1.41111111111
22.0,0.896180555556,0.121460629597,1.05625,0.598958333333,1.03333333333
23.0,1.41739969136,0.299490583759,2.065625,0.795833333333,1.39074074074
